id,category_id/id,sequence,name,community_level,oca_level,enterprise_level,oca_module_names,oca_repo_url,note,segment_ids/id
feat_invoicing,escodoo_website.cat_finance,10,"Customer and supplier invoicing",full,full,full,"","","",""
feat_chart_accounts,escodoo_website.cat_finance,20,"Chart of accounts and journal entries",full,full,full,"","","",""
feat_bank_reconcile,escodoo_website.cat_finance,30,"Bank reconciliation with a matching widget",partial,full,full,"account_reconcile_oca; account_statement_base","https://github.com/OCA/account-reconcile","Community reconciles manually. The community widget covers the same ground as the Enterprise one, and it is the module our clients notice first.",""
feat_bank_statement_import,escodoo_website.cat_finance,40,"Bank statement import in OFX and CAMT",none,full,full,"account_statement_import; account_statement_import_ofx","https://github.com/OCA/account-reconcile","",""
feat_asset_management,escodoo_website.cat_finance,50,"Fixed asset management and depreciation",none,full,full,"account_asset_management","https://github.com/OCA/account-financial-tools","",""
feat_financial_reports,escodoo_website.cat_finance,60,"Financial statements and trial balance",partial,full,full,"account_financial_report; mis_builder","https://github.com/OCA/account-financial-reporting","Community ships generic reports. The community set adds the aged balances, the general ledger with a drill-down and a report builder.",""
feat_dunning,escodoo_website.cat_finance,70,"Dunning and credit control",none,full,full,"account_credit_control; account_financial_risk","https://github.com/OCA/credit-control","",""
feat_payment_orders,escodoo_website.cat_finance,80,"Payment orders and batch payments",partial,full,full,"account_payment_order; account_payment_mode","https://github.com/OCA/account-payment","",""
feat_deferred,escodoo_website.cat_finance,90,"Deferred revenue and expense",none,partial,full,"","","The accrual entries are covered, the Enterprise deferral wizard is not. Usually handled with a recurring entry template.",""
feat_budget,escodoo_website.cat_finance,100,"Budgets and budget control",partial,full,full,"mis_builder_budget","https://github.com/OCA/mis-builder","",""
feat_cost_centers,escodoo_website.cat_finance,110,"Analytic accounting and cost centres",full,full,full,"","","",""
feat_multicurrency,escodoo_website.cat_finance,120,"Multi-currency with automatic rates",partial,full,full,"currency_rate_update","https://github.com/OCA/currency","Community handles multi-currency. The community module fetches the daily rate from the Brazilian central bank.",""
feat_consolidation,escodoo_website.cat_finance,130,"Multi-company consolidation",none,partial,full,"","","An honest gap. Consolidation is usually done outside the ERP or through a report builder.",""
feat_nfe,escodoo_website.cat_fiscal_br,10,"NF-e issuing and receiving",none,full,partial,"l10n_br_nfe; l10n_br_fiscal","https://github.com/OCA/l10n-brazil","The community localisation issues the document natively. The Enterprise localisation relies on a paid third-party tax service.","escodoo_website.segment_manufacturing,escodoo_website.segment_trade"
feat_nfse,escodoo_website.cat_fiscal_br,20,"NFS-e for services",none,partial,partial,"l10n_br_nfse","https://github.com/OCA/l10n-brazil","Coverage depends on the municipality. The national standard is supported; some city systems still need a dedicated adapter. This is the row we get asked about most, and the one where a vague answer costs a project.","escodoo_website.segment_services,escodoo_website.segment_projects"
feat_cte,escodoo_website.cat_fiscal_br,30,"CT-e for transport",none,full,none,"l10n_br_cte","https://github.com/OCA/l10n-brazil","","escodoo_website.segment_trade"
feat_mdfe,escodoo_website.cat_fiscal_br,40,"MDF-e transport manifest",none,full,none,"l10n_br_mdfe","https://github.com/OCA/l10n-brazil","","escodoo_website.segment_trade"
feat_fiscal_tax_engine,escodoo_website.cat_fiscal_br,50,"Brazilian tax calculation engine",none,full,partial,"l10n_br_fiscal","https://github.com/OCA/l10n-brazil","The tax model is generic by design, which is why new taxes enter as new records instead of as a rewrite of the engine.",""
feat_fiscal_operations,escodoo_website.cat_fiscal_br,60,"Fiscal operations and CFOP mapping",none,full,partial,"l10n_br_fiscal","https://github.com/OCA/l10n-brazil","","escodoo_website.segment_manufacturing,escodoo_website.segment_trade"
feat_sped,escodoo_website.cat_fiscal_br,70,"SPED Fiscal and Contribuicoes",none,partial,none,"l10n_br_sped","https://github.com/OCA/l10n-brazil","Partial by design: most clients generate the files from the accounting data and validate them in a specialist tool.",""
feat_ecd_ecf,escodoo_website.cat_fiscal_br,80,"ECD and ECF accounting bookkeeping",none,partial,none,"","","Delivered together with the client accounting firm rather than fully inside the ERP.",""
feat_cnab,escodoo_website.cat_fiscal_br,90,"Bank slips and CNAB exchange",none,full,none,"l10n_br_account_payment_order","https://github.com/OCA/l10n-brazil","","escodoo_website.segment_trade,escodoo_website.segment_services"
feat_pix,escodoo_website.cat_fiscal_br,100,"Pix collection and reconciliation",none,partial,none,"","","Delivered per bank on top of the payment order framework. There is no single generic module yet, and we say so.",""
feat_fiscal_docs_storage,escodoo_website.cat_fiscal_br,110,"Fiscal document storage and XML archive",none,full,partial,"l10n_br_fiscal","https://github.com/OCA/l10n-brazil","",""
feat_tax_reform,escodoo_website.cat_fiscal_br,120,"IBS and CBS tax reform readiness",none,partial,partial,"l10n_br_fiscal","https://github.com/OCA/l10n-brazil","Being built upstream, in the open, for a transition that runs to 2033. It lands on the current versions first, which is what turns an old version into an upgrade decision.",""
feat_partner_registry,escodoo_website.cat_fiscal_br,130,"CNPJ and CPF validation",none,full,partial,"l10n_br_base","https://github.com/OCA/l10n-brazil","",""
feat_crm_pipeline,escodoo_website.cat_sales,10,"CRM pipeline and opportunity management",full,full,full,"","","","escodoo_website.segment_services"
feat_quotations,escodoo_website.cat_sales,20,"Quotations and sales orders",full,full,full,"","","",""
feat_order_types,escodoo_website.cat_sales,30,"Order types with their own defaults",none,full,none,"sale_order_type","https://github.com/OCA/sale-workflow","A community module with no Enterprise equivalent, and one of the most requested in Brazil.","escodoo_website.segment_manufacturing,escodoo_website.segment_trade"
feat_sale_approval,escodoo_website.cat_sales,40,"Multi-level sales approval",none,full,partial,"sale_tier_validation","https://github.com/OCA/sale-workflow","",""
feat_blanket_orders,escodoo_website.cat_sales,50,"Blanket orders and call-offs",none,full,partial,"sale_blanket_order","https://github.com/OCA/sale-workflow","","escodoo_website.segment_manufacturing"
feat_commissions,escodoo_website.cat_sales,60,"Sales commissions",none,full,partial,"sale_commission","https://github.com/OCA/commission","","escodoo_website.segment_trade"
feat_price_lists,escodoo_website.cat_sales,70,"Price lists and discount policy",full,full,full,"","","","escodoo_website.segment_trade"
feat_subscriptions,escodoo_website.cat_sales,80,"Recurring contracts and subscriptions",none,full,full,"contract; contract_sale","https://github.com/OCA/contract","The community contract module is what our service clients run, recurring invoicing included.","escodoo_website.segment_services"
feat_rental,escodoo_website.cat_sales,90,"Rental",full,full,full,"","","",""
feat_sale_exception,escodoo_website.cat_sales,100,"Business rule blocks on order confirmation",none,full,none,"sale_exception","https://github.com/OCA/sale-workflow","",""
feat_customer_portal,escodoo_website.cat_sales,110,"Customer portal",full,full,full,"","","",""
feat_appointments,escodoo_website.cat_sales,120,"Online appointment booking",none,none,full,"","","An honest gap: Enterprise only, with no community equivalent we would recommend.",""
feat_purchase_orders,escodoo_website.cat_purchase,10,"Purchase orders and supplier management",full,full,full,"","","",""
feat_purchase_request,escodoo_website.cat_purchase,20,"Internal purchase requests",none,full,partial,"purchase_request","https://github.com/OCA/purchase-workflow","Enterprise covers this in a separate Approvals app. The community module lives inside purchasing, where the buyer actually works.","escodoo_website.segment_manufacturing"
feat_purchase_tender,escodoo_website.cat_purchase,30,"Calls for tender and supplier comparison",full,full,full,"","","",""
feat_purchase_approval,escodoo_website.cat_purchase,40,"Multi-level purchase approval",none,full,full,"purchase_tier_validation","https://github.com/OCA/purchase-workflow","",""
feat_supplier_pricelists,escodoo_website.cat_purchase,50,"Supplier price lists and lead times",full,full,full,"","","",""
feat_three_way_match,escodoo_website.cat_purchase,60,"Three-way match on supplier invoices",full,full,full,"","","Standard behaviour in both editions through the bill control policy on received quantities.",""
feat_dropship,escodoo_website.cat_purchase,70,"Drop shipping",full,full,full,"","","","escodoo_website.segment_trade"
feat_purchase_exception,escodoo_website.cat_purchase,80,"Business rule blocks on purchase confirmation",none,full,none,"purchase_exception","https://github.com/OCA/purchase-workflow","",""
feat_stock_multi_warehouse,escodoo_website.cat_inventory,10,"Multiple warehouses and locations",full,full,full,"","","","escodoo_website.segment_trade"
feat_stock_replenishment,escodoo_website.cat_inventory,20,"Reordering rules and replenishment",full,full,full,"","","","escodoo_website.segment_trade"
feat_stock_lots,escodoo_website.cat_inventory,30,"Lots and serial number traceability",full,full,full,"","","","escodoo_website.segment_manufacturing"
feat_stock_barcode,escodoo_website.cat_inventory,40,"Barcode scanning on warehouse operations",none,full,full,"stock_barcodes","https://github.com/OCA/stock-logistics-barcode","","escodoo_website.segment_trade"
feat_stock_inventory,escodoo_website.cat_inventory,50,"Physical inventory with counting sheets",partial,full,full,"stock_inventory","https://github.com/OCA/stock-logistics-warehouse","","escodoo_website.segment_trade"
feat_stock_putaway,escodoo_website.cat_inventory,60,"Put-away and storage strategies",partial,full,full,"stock_storage_type","https://github.com/OCA/wms","","escodoo_website.segment_trade"
feat_stock_batch_picking,escodoo_website.cat_inventory,70,"Batch and wave picking",full,full,full,"stock_picking_batch_extended","https://github.com/OCA/stock-logistics-workflow","","escodoo_website.segment_trade"
feat_stock_available_promise,escodoo_website.cat_inventory,80,"Available to promise and release strategies",none,full,partial,"stock_available_to_promise_release","https://github.com/OCA/wms","","escodoo_website.segment_trade"
feat_stock_no_negative,escodoo_website.cat_inventory,90,"Block negative stock",none,full,none,"stock_no_negative","https://github.com/OCA/stock-logistics-warehouse","Standard Odoo allows negative stock in both editions. This is one of the first modules we install on a distribution project.","escodoo_website.segment_trade"
feat_stock_mto_mts,escodoo_website.cat_inventory,100,"Make to order and make to stock per line",partial,full,partial,"stock_mts_mto_rule","https://github.com/OCA/stock-logistics-warehouse","","escodoo_website.segment_manufacturing"
feat_stock_valuation,escodoo_website.cat_inventory,110,"Inventory valuation and landed costs",full,full,full,"","","","escodoo_website.segment_manufacturing"
feat_delivery_carriers,escodoo_website.cat_inventory,120,"Carrier integration and shipping labels",partial,full,full,"base_delivery_carrier_label; delivery_carrier_partner","https://github.com/OCA/delivery-carrier","The framework is shared. Brazilian carrier adapters are usually built per client, and we say so before the project starts.","escodoo_website.segment_trade"
feat_stock_packaging,escodoo_website.cat_inventory,130,"Packaging and unit of measure conversion",full,full,full,"","","","escodoo_website.segment_trade"
feat_wms_advanced,escodoo_website.cat_inventory,140,"Advanced warehouse routing and zone picking",none,full,partial,"stock_dynamic_routing; stock_storage_type","https://github.com/OCA/wms","The community warehouse suite goes further than Enterprise here.","escodoo_website.segment_trade"
feat_mrp_bom,escodoo_website.cat_manufacturing,10,"Bills of material with variants and phantoms",full,full,full,"","","","escodoo_website.segment_manufacturing"
feat_mrp_orders,escodoo_website.cat_manufacturing,20,"Manufacturing orders and work orders",full,full,full,"","","","escodoo_website.segment_manufacturing"
feat_mrp_routing,escodoo_website.cat_manufacturing,30,"Routings and work centre capacity",full,full,full,"","","","escodoo_website.segment_manufacturing"
feat_mrp_multi_level,escodoo_website.cat_manufacturing,40,"Multi-level material planning",partial,full,full,"mrp_multi_level","https://github.com/OCA/manufacture","Enterprise calls it the master production schedule. The community module plans the full bill of material tree, and it is what we deploy.","escodoo_website.segment_manufacturing"
feat_mrp_subcontracting,escodoo_website.cat_manufacturing,50,"Subcontracted operations",full,full,full,"","","","escodoo_website.segment_manufacturing"
feat_mrp_production_request,escodoo_website.cat_manufacturing,60,"Production requests before firm orders",none,full,none,"mrp_production_request","https://github.com/OCA/manufacture","","escodoo_website.segment_manufacturing"
feat_mrp_shopfloor,escodoo_website.cat_manufacturing,70,"Shop floor tablet interface",none,partial,full,"","","An honest gap. The Enterprise shop floor screen has no equivalent; we deliver a simplified kiosk view instead.","escodoo_website.segment_manufacturing"
feat_mrp_costs,escodoo_website.cat_manufacturing,80,"Production cost and variance analysis",partial,full,full,"mis_builder","https://github.com/OCA/mis-builder","","escodoo_website.segment_manufacturing"
feat_mrp_scrap,escodoo_website.cat_manufacturing,90,"Scrap and rework",full,full,full,"","","","escodoo_website.segment_manufacturing"
feat_mrp_engineering_change,escodoo_website.cat_manufacturing,100,"Engineering change orders",none,partial,full,"","","An honest gap: the Enterprise product lifecycle app is not matched by a community module.","escodoo_website.segment_manufacturing"
feat_quality_control,escodoo_website.cat_quality,10,"Quality control points and inspections",none,full,full,"quality_control_oca","https://github.com/OCA/manufacture","","escodoo_website.segment_manufacturing"
feat_quality_ncr,escodoo_website.cat_quality,20,"Non-conformity reports and corrective actions",none,full,partial,"mgmtsystem_nonconformity","https://github.com/OCA/management-system","","escodoo_website.segment_manufacturing"
feat_quality_certificates,escodoo_website.cat_quality,30,"Certificates of analysis",none,partial,partial,"quality_control_oca","https://github.com/OCA/manufacture","","escodoo_website.segment_manufacturing"
feat_quality_audits,escodoo_website.cat_quality,40,"Internal audits and ISO management system",none,full,none,"mgmtsystem; mgmtsystem_audit","https://github.com/OCA/management-system","A whole management system suite with no Enterprise counterpart.","escodoo_website.segment_manufacturing"
